MissionIndex,OpenFactor,SlotIndex,IconInfo,AbleToMode,AbleToSubMode,MapInfo,DiffType,ActionType,ActionCount,Description,Summary,RewardItemIndex1,RewardItemIndex2,RewardItemIndex3,OrderType
200130201,0,1,0,2,0,0,3,2,1,MissionDes_2000201,sumAction_2000201,22400302,81401102,49501802,2
300110101,0,2,0,3,0,0,1,1,1,MissionDes_3000101,sumAction_3000101,49501202,0,0,2
300121105,0,2,0,3,0,0,2,11,5,MissionDes_3001105,sumAction_3001105,22400302,49501202,0,2
300131301,0,2,0,3,0,0,3,13,1,MissionDes_3001301,sumAction_3001301,32400202,81401102,49501202,2
800110101,0,3,0,8,0,0,1,1,1,MissionDes_8000101,sumAction_8000101,49501802,0,0,2
800121105,0,3,0,8,0,0,2,11,5,MissionDes_8001105,sumAction_8001105,43410602,49501802,0,2
800131301,0,3,0,8,0,0,3,13,1,MissionDes_8001301,sumAction_8001301,22400302,32400202,49501802,2
100110101,0,4,0,1,0,0,1,1,1,MissionDes_1000101,sumAction_1000101,49501202,0,0,2
100121105,0,4,0,1,0,0,2,11,5,MissionDes_1001105,sumAction_1001105,43410602,49501202,0,2
100130201,0,4,0,1,0,0,3,2,1,MissionDes_1000201,sumAction_1000201,24400202,81401102,49501202,2
600110101,0,5,0,6,0,0,1,1,1,MissionDes_6000101,sumAction_6000101,49501802,0,0,2
600121103,0,5,0,6,0,0,2,11,3,MissionDes_6001103,sumAction_6001103,24400202,49501802,0,2
600133502,0,5,0,6,0,0,3,35,2,MissionDes_6003502,sumAction_6003502,32400202,81400502,49501802,2
704110101,0,6,0,7,0,4,1,1,1,MissionDes_7040101,sumAction_7040101,49501202,0,0,2
704120802,0,6,0,7,0,4,2,8,2,MissionDes_7040802,sumAction_7040802,43410602,49501202,0,2
704130601,0,6,0,7,0,4,3,6,1,MissionDes_7040601,sumAction_7040601,24400202,81400502,49501202,2
424110101,0,7,0,4,0,24,1,1,1,MissionDes_4240101,sumAction_4240101,49501802,0,0,2
424120802,0,7,0,4,0,24,2,8,2,MissionDes_4240802,sumAction_4240802,43410602,49501802,0,2
424130601,0,7,0,4,0,24,3,6,1,MissionDes_4240601,sumAction_4240601,22400302,81401102,49501802,2
731110101,0,8,0,7,0,31,1,1,1,MissionDes_7310101,sumAction_7310101,49501202,0,0,2
731120802,0,8,0,7,0,31,2,8,2,MissionDes_7310802,sumAction_7310802,32400202,49501202,0,2
731130601,0,8,0,7,0,31,3,6,1,MissionDes_7310601,sumAction_7310601,24400202,81401102,49501202,2
500310101,0,0,0,5,0,0,1,1,1,MissionDes_5000101,sumAction_5000101,49501202,0,0,3
500321105,0,0,0,5,0,0,2,11,5,MissionDes_5001105,sumAction_5001105,33400202,49501202,0,3
500331301,0,0,0,5,0,0,3,13,1,MissionDes_5001301,sumAction_5001301,49501902,31400202,49501202,3
200310101,0,1,0,2,0,0,1,1,1,MissionDes_2000101,sumAction_2000101,49501802,0,0,3
200321105,0,1,0,2,0,0,2,11,5,MissionDes_2001105,sumAction_2001105,24400302,49501802,0,3
200330201,0,1,0,2,0,0,3,2,1,MissionDes_2000201,sumAction_2000201,31400202,81401002,49501802,3
300310101,0,2,0,3,0,0,1,1,1,MissionDes_3000101,sumAction_3000101,49501202,0,0,3
300321105,0,2,0,3,0,0,2,11,5,MissionDes_3001105,sumAction_3001105,24400302,49501202,0,3
300331301,0,2,0,3,0,0,3,13,1,MissionDes_3001301,sumAction_3001301,33400202,81401102,49501202,3
800310101,0,3,0,8,0,0,1,1,1,MissionDes_8000101,sumAction_8000101,49501802,0,0,3
800321105,0,3,0,8,0,0,2,11,5,MissionDes_8001105,sumAction_8001105,24400302,49501802,0,3
800331301,0,3,0,8,0,0,3,13,1,MissionDes_8001301,sumAction_8001301,81401102,31400202,49501802,3
100310101,0,4,0,1,0,0,1,1,1,MissionDes_1000101,sumAction_1000101,49501202,0,0,3
100321105,0,4,0,1,0,0,2,11,5,MissionDes_1001105,sumAction_1001105,33400202,49501202,0,3
100330201,0,4,0,1,0,0,3,2,1,MissionDes_1000201,sumAction_1000201,81401002,24400302,49501202,3
600310101,0,5,0,6,0,0,1,1,1,MissionDes_6000101,sumAction_6000101,49501802,0,0,3
600321103,0,5,0,6,0,0,2,11,3,MissionDes_6001103,sumAction_6001103,31400202,49501802,0,3
600333502,0,5,0,6,0,0,3,35,2,MissionDes_6003502,sumAction_6003502,49501902,33400202,49501802,3
729310101,0,6,0,7,0,29,1,1,1,MissionDes_7290101,sumAction_7290101,49501202,0,0,3
729320802,0,6,0,7,0,29,2,8,2,MissionDes_7290802,sumAction_7290802,33400202,49501202,0,3
729330601,0,6,0,7,0,29,3,6,1,MissionDes_7290601,sumAction_7290601,81401002,31400202,49501202,3
705310101,0,7,0,7,0,5,1,1,1,MissionDes_7050101,sumAction_7050101,49501202,0,0,3
705320802,0,7,0,7,0,5,2,8,2,MissionDes_7050802,sumAction_7050802,24400302,49501202,0,3
705330601,0,7,0,7,0,5,3,6,1,MissionDes_7050601,sumAction_7050601,81401102,33400202,49501202,3
425310101,0,8,0,4,0,25,1,1,1,MissionDes_4250101,sumAction_4250101,49501802,0,0,3
425320802,0,8,0,4,0,25,2,8,2,MissionDes_4250802,sumAction_4250802,31400202,49501802,0,3
425330601,0,8,0,4,0,25,3,6,1,MissionDes_4250601,sumAction_4250601,49501902,24400302,49501802,3
