RewardIndex,Min,Max,RandomMax,RewardItem,RewardExp,RewardPoint,RewardType
15120000,1,200,3333,0,0,0,1
15120000,201,400,3333,0,0,0,1
15120000,401,500,3333,0,0,0,1
15120000,501,600,3333,0,0,0,1
15120000,601,700,3333,0,0,0,1
15120000,701,800,3333,0,0,0,1
15120000,801,900,3333,43510505,0,0,1
15120000,901,1000,3333,43510605,0,0,1
15120000,1001,3333,3333,0,0,0,1
15130000,1,200,3333,0,0,0,1
15130000,201,400,3333,0,0,0,1
15130000,401,500,3333,0,0,0,1
15130000,501,600,3333,0,0,0,1
15130000,601,700,3333,0,0,0,1
15130000,701,800,3333,0,0,0,1
15130000,801,900,3333,43510505,0,0,1
15130000,901,1000,3333,43510605,0,0,1
15130000,1001,3333,3333,0,0,0,1
15160000,1,200,3333,0,0,0,1
15160000,201,400,3333,0,0,0,1
15160000,401,500,3333,0,0,0,1
15160000,501,600,3333,0,0,0,1
15160000,601,700,3333,0,0,0,1
15160000,701,800,3333,0,0,0,1
15160000,801,900,3333,43510505,0,0,1
15160000,901,1000,3333,43510605,0,0,1
15160000,1001,3333,3333,0,0,0,1
15170000,1,200,3333,0,0,0,1
15170000,201,400,3333,0,0,0,1
15170000,401,500,3333,0,0,0,1
15170000,501,600,3333,0,0,0,1
15170000,601,700,3333,0,0,0,1
15170000,701,800,3333,0,0,0,1
15170000,801,900,3333,43510505,0,0,1
15170000,901,1000,3333,43510605,0,0,1
15170000,1001,3333,3333,0,0,0,1
15180000,1,200,3333,0,0,0,1
15180000,201,400,3333,0,0,0,1
15180000,401,500,3333,0,0,0,1
15180000,501,600,3333,0,0,0,1
15180000,601,700,3333,0,0,0,1
15180000,701,800,3333,0,0,0,1
15180000,801,900,3333,43510505,0,0,1
15180000,901,1000,3333,43510605,0,0,1
15180000,1001,3333,3333,0,0,0,1
13210000,1,200,3333,0,0,0,1
13210000,201,400,3333,0,0,0,1
13210000,401,500,3333,0,0,0,1
13210000,501,600,3333,0,0,0,1
13210000,601,700,3333,0,0,0,1
13210000,701,800,3333,0,0,0,1
13210000,801,900,3333,43510505,0,0,1
13210000,901,1000,3333,43510605,0,0,1
13210000,1001,3333,3333,0,0,0,1
15220000,1,200,3333,0,0,0,1
15220000,201,400,3333,0,0,0,1
15220000,401,500,3333,0,0,0,1
15220000,501,600,3333,0,0,0,1
15220000,601,700,3333,0,0,0,1
15220000,701,800,3333,0,0,0,1
15220000,801,900,3333,43510505,0,0,1
15220000,901,1000,3333,43510605,0,0,1
15220000,1001,3333,3333,0,0,0,1
15310000,1,200,3333,0,0,0,1
15310000,201,400,3333,0,0,0,1
15310000,401,500,3333,0,0,0,1
15310000,501,600,3333,0,0,0,1
15310000,601,700,3333,0,0,0,1
15310000,701,800,3333,0,0,0,1
15310000,801,900,3333,43510505,0,0,1
15310000,901,1000,3333,43510605,0,0,1
15310000,1001,3333,3333,0,0,0,1
15240000,1,200,3333,0,0,0,1
15240000,201,400,3333,0,0,0,1
15240000,401,500,3333,0,0,0,1
15240000,501,600,3333,0,0,0,1
15240000,601,700,3333,0,0,0,1
15240000,701,800,3333,0,0,0,1
15240000,801,900,3333,43510505,0,0,1
15240000,901,1000,3333,43510605,0,0,1
15240000,1001,3333,3333,0,0,0,1
15250000,1,200,3333,0,0,0,1
15250000,201,400,3333,0,0,0,1
15250000,401,500,3333,0,0,0,1
15250000,501,600,3333,0,0,0,1
15250000,601,700,3333,0,0,0,1
15250000,701,800,3333,0,0,0,1
15250000,801,900,3333,43510505,0,0,1
15250000,901,1000,3333,43510605,0,0,1
15250000,1001,3333,3333,0,0,0,1
15150000,1,200,3333,0,0,0,1
15150000,201,400,3333,0,0,0,1
15150000,401,500,3333,0,0,0,1
15150000,501,600,3333,0,0,0,1
15150000,601,700,3333,0,0,0,1
15150000,701,800,3333,0,0,0,1
15150000,801,900,3333,43510505,0,0,1
15150000,901,1000,3333,43510605,0,0,1
15150000,1001,3333,3333,0,0,0,1
15260000,1,200,3333,0,0,0,1
15260000,201,400,3333,0,0,0,1
15260000,401,500,3333,0,0,0,1
15260000,501,600,3333,0,0,0,1
15260000,601,700,3333,0,0,0,1
15260000,701,800,3333,0,0,0,1
15260000,801,900,3333,43510505,0,0,1
15260000,901,1000,3333,43510605,0,0,1
15260000,1001,3333,3333,0,0,0,1
15270000,1,200,3333,0,0,0,1
15270000,201,400,3333,0,0,0,1
15270000,401,500,3333,0,0,0,1
15270000,501,600,3333,0,0,0,1
15270000,601,700,3333,0,0,0,1
15270000,701,800,3333,0,0,0,1
15270000,801,900,3333,43510505,0,0,1
15270000,901,1000,3333,43510605,0,0,1
15270000,1001,3333,3333,0,0,0,1
15290000,1,200,3333,0,0,0,1
15290000,201,400,3333,0,0,0,1
15290000,401,500,3333,0,0,0,1
15290000,501,600,3333,0,0,0,1
15290000,601,700,3333,0,0,0,1
15290000,701,800,3333,0,0,0,1
15290000,801,900,3333,43510505,0,0,1
15290000,901,1000,3333,43510605,0,0,1
15290000,1001,3333,3333,0,0,0,1
15010000,1,200,3333,0,0,0,1
15010000,201,400,3333,0,0,0,1
15010000,401,500,3333,0,0,0,1
15010000,501,600,3333,0,0,0,1
15010000,601,700,3333,0,0,0,1
15010000,701,800,3333,0,0,0,1
15010000,801,900,3333,43510505,0,0,1
15010000,901,1000,3333,43510605,0,0,1
15010000,1001,3333,3333,0,0,0,1
15020000,1,200,3333,0,0,0,1
15020000,201,400,3333,0,0,0,1
15020000,401,500,3333,0,0,0,1
15020000,501,600,3333,0,0,0,1
15020000,601,700,3333,0,0,0,1
15020000,701,800,3333,0,0,0,1
15020000,801,900,3333,43510505,0,0,1
15020000,901,1000,3333,43510605,0,0,1
15020000,1001,3333,3333,0,0,0,1
15100000,1,200,3333,0,0,0,1
15100000,201,400,3333,0,0,0,1
15100000,401,500,3333,0,0,0,1
15100000,501,600,3333,0,0,0,1
15100000,601,700,3333,0,0,0,1
15100000,701,800,3333,0,0,0,1
15100000,801,900,3333,43510505,0,0,1
15100000,901,1000,3333,43510605,0,0,1
15100000,1001,3333,3333,0,0,0,1
15200000,1,200,3333,0,0,0,1
15200000,201,400,3333,0,0,0,1
15200000,401,500,3333,0,0,0,1
15200000,501,600,3333,0,0,0,1
15200000,601,700,3333,0,0,0,1
15200000,701,800,3333,0,0,0,1
15200000,801,900,3333,43510505,0,0,1
15200000,901,1000,3333,43510605,0,0,1
15200000,1001,3333,3333,0,0,0,1
15230000,1,200,3333,0,0,0,1
15230000,201,400,3333,0,0,0,1
15230000,401,500,3333,0,0,0,1
15230000,501,600,3333,0,0,0,1
15230000,601,700,3333,0,0,0,1
15230000,701,800,3333,0,0,0,1
15230000,801,900,3333,43510505,0,0,1
15230000,901,1000,3333,43510605,0,0,1
15230000,1001,3333,3333,0,0,0,1
18020000,1,200,3333,0,0,0,1
18020000,201,400,3333,0,0,0,1
18020000,401,500,3333,0,0,0,1
18020000,501,600,3333,0,0,0,1
18020000,601,700,3333,0,0,0,1
18020000,701,800,3333,0,0,0,1
18020000,801,900,3333,43510505,0,0,1
18020000,901,1000,3333,43510605,0,0,1
18020000,1001,3333,3333,0,0,0,1
18030000,1,200,3333,0,0,0,1
18030000,201,400,3333,0,0,0,1
18030000,401,500,3333,0,0,0,1
18030000,501,600,3333,0,0,0,1
18030000,601,700,3333,0,0,0,1
18030000,701,800,3333,0,0,0,1
18030000,801,900,3333,43510505,0,0,1
18030000,901,1000,3333,43510605,0,0,1
18030000,1001,3333,3333,0,0,0,1
16300000,1,200,3333,0,0,0,1
16300000,201,400,3333,0,0,0,1
16300000,401,500,3333,0,0,0,1
16300000,501,600,3333,0,0,0,1
16300000,601,700,3333,0,0,0,1
16300000,701,800,3333,0,0,0,1
16300000,801,900,3333,43510505,0,0,1
16300000,901,1000,3333,43510605,0,0,1
16300000,1001,3333,3333,0,0,0,1
16030000,1,200,3333,0,0,0,1
16030000,201,400,3333,0,0,0,1
16030000,401,500,3333,0,0,0,1
16030000,501,600,3333,0,0,0,1
16030000,601,700,3333,0,0,0,1
16030000,701,800,3333,0,0,0,1
16030000,801,900,3333,43510505,0,0,1
16030000,901,1000,3333,43510605,0,0,1
16030000,1001,3333,3333,0,0,0,1
17040010,1,167,10000,49500102,0,0,1
17040010,168,334,10000,49500202,0,0,1
17040010,335,501,10000,49500302,0,0,1
17040010,502,668,10000,49501302,0,0,1
17040010,669,835,10000,49501402,0,0,1
17040010,836,1002,10000,49501502,0,0,1
17040010,1003,2002,10000,48500104,0,0,1
17040010,2003,2402,10000,49500602,0,0,1
17040010,2403,2802,10000,49500702,0,0,1
17040010,2803,3202,10000,49500802,0,0,1
17040010,3203,3602,10000,49500502,0,0,1
17040010,3603,4002,10000,49501002,0,0,1
17040010,4003,4402,10000,49501102,0,0,1
17040010,4403,4802,10000,49500902,0,0,1
17040010,4803,5202,10000,49501902,0,0,1
17040010,5203,5602,10000,49501202,0,0,1
17040010,5603,6002,10000,49501802,0,0,1
17040010,6003,10000,10000,48500103,0,0,1
17050020,1,25,1000,49500102,0,0,1
17050020,26,50,1000,49500202,0,0,1
17050020,51,75,1000,49500302,0,0,1
17050020,76,100,1000,49501302,0,0,1
17050020,101,125,1000,49501402,0,0,1
17050020,126,150,1000,49501502,0,0,1
17050020,151,300,1000,48500104,0,0,1
17050020,301,335,1000,49500603,0,0,1
17050020,336,370,1000,49500703,0,0,1
17050020,371,405,1000,49500803,0,0,1
17050020,406,440,1000,49500503,0,0,1
17050020,441,475,1000,49501003,0,0,1
17050020,476,510,1000,49501103,0,0,1
17050020,511,545,1000,49500903,0,0,1
17050020,546,580,1000,49501903,0,0,1
17050020,581,615,1000,49501205,0,0,1
17050020,616,650,1000,49501805,0,0,1
17050020,651,1000,1000,48500103,0,0,1
17060030,1,333,10000,49500102,0,0,1
17060030,334,666,10000,49500202,0,0,1
17060030,667,999,10000,49500302,0,0,1
17060030,1000,1332,10000,49501302,0,0,1
17060030,1333,1665,10000,49501402,0,0,1
17060030,1666,1998,10000,49501502,0,0,1
17060030,1999,3998,10000,48500104,0,0,1
17060030,3999,4298,10000,49500604,0,0,1
17060030,4299,4598,10000,49500704,0,0,1
17060030,4599,4898,10000,49500804,0,0,1
17060030,4899,5198,10000,49500504,0,0,1
17060030,5199,5498,10000,49501004,0,0,1
17060030,5499,5798,10000,49501104,0,0,1
17060030,5799,6098,10000,49500904,0,0,1
17060030,6099,6398,10000,49501904,0,0,1
17060030,6399,6698,10000,49501206,0,0,1
17060030,6699,6998,10000,49501806,0,0,1
17060030,6999,10000,10000,48500103,0,0,1
14230010,1,167,10000,49500102,0,0,1
14230010,168,334,10000,49500202,0,0,1
14230010,335,501,10000,49500302,0,0,1
14230010,502,668,10000,49501302,0,0,1
14230010,669,835,10000,49501402,0,0,1
14230010,836,1002,10000,49501502,0,0,1
14230010,1003,2002,10000,48500104,0,0,1
14230010,2003,2402,10000,49500602,0,0,1
14230010,2403,2802,10000,49500702,0,0,1
14230010,2803,3202,10000,49500802,0,0,1
14230010,3203,3602,10000,49500502,0,0,1
14230010,3603,4002,10000,49501002,0,0,1
14230010,4003,4402,10000,49501102,0,0,1
14230010,4403,4802,10000,49500902,0,0,1
14230010,4803,5202,10000,49501902,0,0,1
14230010,5203,5602,10000,49501202,0,0,1
14230010,5603,6002,10000,49501802,0,0,1
14230010,6003,10000,10000,48500103,0,0,1
14240020,1,25,1000,49500102,0,0,1
14240020,26,50,1000,49500202,0,0,1
14240020,51,75,1000,49500302,0,0,1
14240020,76,100,1000,49501302,0,0,1
14240020,101,125,1000,49501402,0,0,1
14240020,126,150,1000,49501502,0,0,1
14240020,151,300,1000,48500104,0,0,1
14240020,301,335,1000,49500603,0,0,1
14240020,336,370,1000,49500703,0,0,1
14240020,371,405,1000,49500803,0,0,1
14240020,406,440,1000,49500503,0,0,1
14240020,441,475,1000,49501003,0,0,1
14240020,476,510,1000,49501103,0,0,1
14240020,511,545,1000,49500903,0,0,1
14240020,546,580,1000,49501903,0,0,1
14240020,581,615,1000,49501205,0,0,1
14240020,616,650,1000,49501805,0,0,1
14240020,651,1000,1000,48500103,0,0,1
14250030,1,333,10000,49500102,0,0,1
14250030,334,666,10000,49500202,0,0,1
14250030,667,999,10000,49500302,0,0,1
14250030,1000,1332,10000,49501302,0,0,1
14250030,1333,1665,10000,49501402,0,0,1
14250030,1666,1998,10000,49501502,0,0,1
14250030,1999,3998,10000,48500104,0,0,1
14250030,3999,4298,10000,49500604,0,0,1
14250030,4299,4598,10000,49500704,0,0,1
14250030,4599,4898,10000,49500804,0,0,1
14250030,4899,5198,10000,49500504,0,0,1
14250030,5199,5498,10000,49501004,0,0,1
14250030,5499,5798,10000,49501104,0,0,1
14250030,5799,6098,10000,49500904,0,0,1
14250030,6099,6398,10000,49501904,0,0,1
14250030,6399,6698,10000,49501206,0,0,1
14250030,6699,6998,10000,49501806,0,0,1
14250030,6999,10000,10000,48500103,0,0,1
17290010,1,167,10000,49500102,0,0,1
17290010,168,334,10000,49500202,0,0,1
17290010,335,501,10000,49500302,0,0,1
17290010,502,668,10000,49501302,0,0,1
17290010,669,835,10000,49501402,0,0,1
17290010,836,1002,10000,49501502,0,0,1
17290010,1003,2002,10000,48500104,0,0,1
17290010,2003,2402,10000,49500602,0,0,1
17290010,2403,2802,10000,49500702,0,0,1
17290010,2803,3202,10000,49500802,0,0,1
17290010,3203,3602,10000,49500502,0,0,1
17290010,3603,4002,10000,49501002,0,0,1
17290010,4003,4402,10000,49501102,0,0,1
17290010,4403,4802,10000,49500902,0,0,1
17290010,4803,5202,10000,49501902,0,0,1
17290010,5203,5602,10000,49501202,0,0,1
17290010,5603,6002,10000,49501802,0,0,1
17290010,6003,10000,10000,48500103,0,0,1
17300020,1,25,1000,49500102,0,0,1
17300020,26,50,1000,49500202,0,0,1
17300020,51,75,1000,49500302,0,0,1
17300020,76,100,1000,49501302,0,0,1
17300020,101,125,1000,49501402,0,0,1
17300020,126,150,1000,49501502,0,0,1
17300020,151,300,1000,48500104,0,0,1
17300020,301,335,1000,49500603,0,0,1
17300020,336,370,1000,49500703,0,0,1
17300020,371,405,1000,49500803,0,0,1
17300020,406,440,1000,49500503,0,0,1
17300020,441,475,1000,49501003,0,0,1
17300020,476,510,1000,49501103,0,0,1
17300020,511,545,1000,49500903,0,0,1
17300020,546,580,1000,49501903,0,0,1
17300020,581,615,1000,49501205,0,0,1
17300020,616,650,1000,49501805,0,0,1
17300020,651,1000,1000,48500103,0,0,1
17310030,1,333,10000,49500102,0,0,1
17310030,334,666,10000,49500202,0,0,1
17310030,667,999,10000,49500302,0,0,1
17310030,1000,1332,10000,49501302,0,0,1
17310030,1333,1665,10000,49501402,0,0,1
17310030,1666,1998,10000,49501502,0,0,1
17310030,1999,3998,10000,48500104,0,0,1
17310030,3999,4298,10000,49500604,0,0,1
17310030,4299,4598,10000,49500704,0,0,1
17310030,4599,4898,10000,49500804,0,0,1
17310030,4899,5198,10000,49500504,0,0,1
17310030,5199,5498,10000,49501004,0,0,1
17310030,5499,5798,10000,49501104,0,0,1
17310030,5799,6098,10000,49500904,0,0,1
17310030,6099,6398,10000,49501904,0,0,1
17310030,6399,6698,10000,49501206,0,0,1
17310030,6699,6998,10000,49501806,0,0,1
17310030,6999,10000,10000,48500103,0,0,1
